#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
122,F08,12,G10
123,H07,12,G11
108,F08,12,H01
110,G01,12,H02
111,H04,12,H03
113,H04,12,H04
116,F01,12,H06
118,B09,12,H07
119,C03,12,H08
120,G10,12,H09
122,H06,12,H10
124,B11,12,H11
125,E11,13,A01
127,A02,13,A02
128,F11,13,A03
130,C05,13,A04
131,A07,13,A05
134,C04,13,A06
136,D04,13,A07
137,B01,13,A08
139,F09,13,A09
141,E03,13,A10
143,F02,13,A11
145,C08,13,A12
127,C07,13,B02
128,F05,13,B03
130,C07,13,B04
131,H12,13,B05
134,D04,13,B06
136,D07,13,B07
137,C04,13,B08
139,H04,13,B09
141,F06,13,B10
143,G07,13,B11
145,D08,13,B12
125,F01,13,C01
127,D12,13,C02
128,G12,13,C03
130,C08,13,C04
132,A12,13,C05
134,D09,13,C06
136,E05,13,C07
138,C08,13,C08
140,B05,13,C09
142,A04,13,C10
143,H02,13,C11
145,E05,13,C12
126,A02,13,D01
127,D04,13,D02
128,H04,13,D03
130,D07,13,D04
132,G03,13,D05
134,F10,13,D06
136,F05,13,D07
138,D05,13,D08
140,C11,13,D09
142,D09,13,D10
144,B01,13,D11
145,F02,13,D12
126,D07,13,E01
127,G06,13,E02
129,C03,13,E03
130,E06,13,E04
132,H12,13,E05
135,B01,13,E06
136,F09,13,E07
139,C01,13,E08
140,E05,13,E09
142,E02,13,E10
144,D11,13,E11
145,G04,13,E12
126,F12,13,F01
128,A03,13,F02
129,C07,13,F03
130,G10,13,F04
132,H07,13,F05
135,E07,13,F06
136,G08,13,F07
139,D07,13,F08
140,H10,13,F09
142,F08,13,F10
144,E12,13,F11
145,H12,13,F12
126,G07,13,G01
128,A05,13,G02
129,D04,13,G03
130,G06,13,G04
133,A10,13,G05
135,F03,13,G06
136,H03,13,G07
139,D08,13,G08
141,C11,13,G09
143,D12,13,G10
144,G06,13,G11
146,A01,13,G12
126,H04,13,H01
128,E10,13,H02
130,A09,13,H03
130,H07,13,H04
133,H12,13,H05
136,B06,13,H06
137,A03,13,H07
139,F03,13,H08
141,C02,13,H09
143,D02,13,H10
145,B11,13,H11
146,B08,14,A01
146,H06,14,A02
149,A03,14,A03
150,B11,14,A04
151,D01,14,A05
152,C07,14,A06
153,F08,14,A07
155,H02,14,A08
156,E12,14,A09
157,D07,14,A10
158,D03,14,A11
158,F07,14,A12
146,D12,14,B01
149,B01,14,B03
150,E12,14,B04
151,D12,14,B05
152,D12,14,B06
153,G12,14,B07
156,B05,14,B08
156,E06,14,B09
157,D08,14,B10
158,D05,14,B11
158,G09,14,B12
146,D09,14,C01
148,B09,14,C02
149,B04,14,C03
150,E09,14,C04
151,D09,14,C05
152,E04,14,C06
153,H05,14,C07
156,B08,14,C08
156,E08,14,C09
157,E04,14,C10
158,D08,14,C11
158,H02,14,C12
146,F11,14,D01
148,C08,14,D02
149,B05,14,D03
150,F10,14,D04
152,A11,14,D05
153,A05,14,D06
154,B01,14,D07
156,C09,14,D08
156,G08,14,D09
157,F05,14,D10
158,E01,14,D11
158,H03,14,D12
146,G06,14,E01
148,D12,14,E02
149,B07,14,E03
150,H03,14,E04
152,A07,14,E05
154,D07,14,E07
156,D03,14,E08
157,B06,14,E09
157,F06,14,E10
158,E02,14,E11
159,A10,14,E12
146,H10,14,F01
148,E09,14,F02
149,C11,14,F03
151,A10,14,F04
152,B01,14,F05
153,D08,14,F06
154,E08,14,F07
156,D04,14,F08
157,B07,14,F09
157,H01,14,F10
158,E08,14,F11
159,B01,14,F12
146,H12,14,G01
148,G07,14,G02
149,E12,14,G03
151,A11,14,G04
152,B07,14,G05
153,E12,14,G06
155,A12,14,G07
156,D05,14,G08
157,D02,14,G09
158,A11,14,G10
158,E09,14,G11
159,B08,14,G12
146,H03,14,H01
149,A02,14,H02
149,H07,14,H03
151,B05,14,H04
152,C10,14,H05
153,E06,14,H06
155,A02,14,H07
156,E11,14,H08
157,D05,14,H09
158,C05,14,H10
158,F12,14,H11
159,C11,14,H12
171,C05,15,F12
159,E10,15,A01
160,A05,15,A02
160,F05,15,A03
161,H06,15,A04
163,C03,15,A05
164,D01,15,A06
166,B12,15,A07
166,E06,15,A08
167,E04,15,A09
169,A02,15,A10
170,A10,15,A11
170,G03,15,A12
159,E06,15,B01
160,A07,15,B02
162,A05,15,B04
163,C08,15,B05
164,F02,15,B06
166,C05,15,B07
166,E09,15,B08
167,G07,15,B09
169,A08,15,B10
170,A12,15,B11
170,H12,15,B12
159,E09,15,C01
160,B05,15,C02
160,G05,15,C03
162,B01,15,C04
163,E10,15,C05
165,A08,15,C06
166,D12,15,C07
166,G08,15,C08
168,A05,15,C09
169,E11,15,C10
170,A03,15,C11
170,H08,15,C12
159,F01,15,D01
160,B07,15,D02
160,G08,15,D03
162,C12,15,D04
163,F07,15,D05
165,C12,15,D06
166,D02,15,D07
166,H12,15,D08
168,A07,15,D09
169,E04,15,D10
170,A06,15,D11
171,A08,15,D12
159,F12,15,E01
160,C06,15,E02
160,H02,15,E03
162,D05,15,E04
163,G12,15,E05
165,C07,15,E06
166,D07,15,E07
167,A04,15,E08
168,B09,15,E09
169,F04,15,E10
170,E10,15,E11
171,C04,15,E12
159,G03,15,F01
160,D10,15,F02
161,B05,15,F03
162,D09,15,F04
163,G03,15,F05
165,F02,15,F06
166,E10,15,F07
167,B07,15,F08
168,D02,15,F09
169,F07,15,F10
170,E05,15,F11
159,G09,15,G01
160,E05,15,G02
